字段,dtype,缺失数,缺失率,唯一值数,样例值
total_pymnt_inv,float64,0,0.0,174931,4421.72 | 25679.66 | 22705.92 | 31464.01 | 11740.5
out_prncp_inv,float64,0,0.0,16478,0.0 | 15897.65 | 9912.88 | 7080.7 | 9580.2
num_accts_ever_120_pd,float64,0,0.0,31,2.0 | 0.0 | 1.0 | 4.0 | 12.0
out_prncp,float64,0,0.0,15589,0.0 | 15897.65 | 9912.88 | 7080.7 | 9580.2
initial_list_status,string,0,0.0,2,w | f
total_acc,float64,0,0.0,115,13.0 | 38.0 | 18.0 | 17.0 | 35.0
revol_bal,float64,0,0.0,49612,2765.0 | 21470.0 | 7869.0 | 7802.0 | 21929.0
pub_rec,float64,0,0.0,26,0.0 | 1.0 | 2.0 | 3.0 | 5.0
open_acc,float64,0,0.0,67,7.0 | 22.0 | 6.0 | 13.0 | 12.0
inq_last_6mths,float64,0,0.0,6,1.0 | 4.0 | 0.0 | 3.0 | 2.0
fico_range_high,float64,0,0.0,38,679.0 | 719.0 | 699.0 | 789.0 | 694.0
last_fico_range_high,float64,0,0.0,72,564.0 | 699.0 | 704.0 | 679.0 | 759.0
last_fico_range_low,float64,0,0.0,71,560.0 | 695.0 | 700.0 | 675.0 | 755.0
collections_12_mths_ex_med,float64,0,0.0,7,0.0 | 1.0 | 2.0 | 3.0 | 4.0
policy_code,float64,0,0.0,1,1.0
mort_acc,float64,0,0.0,31,1.0 | 4.0 | 5.0 | 6.0 | 0.0
mo_sin_rcnt_tl,float64,0,0.0,153,3.0 | 2.0 | 14.0 | 4.0 | 32.0
mo_sin_rcnt_rev_tl_op,float64,0,0.0,224,3.0 | 2.0 | 14.0 | 4.0 | 32.0
mo_sin_old_rev_tl_op,float64,0,0.0,678,128.0 | 192.0 | 184.0 | 87.0 | 210.0
delinq_amnt,float64,0,0.0,555,0.0 | 687.0 | 40.0 | 36.0 | 6.0
fico_range_low,float64,0,0.0,38,675.0 | 715.0 | 695.0 | 785.0 | 690.0
